Project executed on 26-05-2025 at 13:47:43.
main.cpp(13): Application start
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (7, 13)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (7, 13)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (7, 14)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (7, 14)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (7, 15)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (7, 15)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (7, 16)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (7, 16)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (7, 17)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (7, 17)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (7, 18)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (7, 18)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (7, 19)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (7, 19)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (7, 20)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (7, 20)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (7, 22)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (7, 22)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (7, 23)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (7, 23)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (7, 24)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (7, 24)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (7, 25)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (7, 25)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (7, 26)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (7, 26)
Player.cpp(154): Started walking UP
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (7, 25)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (7, 24)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (7, 22)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (7, 21)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (7, 20)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (7, 19)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (7, 18)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (7, 17)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (7, 16)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (7, 15)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (7, 13)
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (6, 13)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (6, 14)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (5, 13)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (5, 14)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (4, 13)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (4, 14)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (2, 13)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (2, 14)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (1, 13)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (1, 14)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (0, 13)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (0, 14)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (0, 13)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (0, 14)
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
Player.cpp(154): Started walking UP
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (1, 13)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (1, 14)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (1, 13)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (1, 14)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (2, 13)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (2, 14)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (2, 13)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (2, 14)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (3, 13)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (3, 14)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (3, 13)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (3, 14)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (4, 13)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (4, 14)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (4, 13)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (4, 14)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (5, 13)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (5, 14)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (5, 13)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (5, 14)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (6, 13)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (6, 14)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (6, 13)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (6, 14)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (7, 13)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (7, 14)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (7, 13)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (7, 14)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (8, 13)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (8, 14)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (8, 13)
TileMap.cpp(105): Error: Index out of bounds. Tile map dimensions: 31x13. Given index: (8, 14)
